"","Country","Deaths.real","Deaths.coverage.total","Deaths_cover_rate","Cases.real","Cases.coverage.total","Cases_cover_rate"
"135","Réunion",1,0,0,471,0,0
"136","Sao Tome and Principe",12,0,0,463,0,0
"137","French Guiana",1,0,0,450,0,0
"138","Palestine",3,0,0,447,0,0
"139","Taiwan",7,7,100,442,440.1,99.57
"140","Togo",13,0,0,428,0,0
"141","Mauritania",20,0,0,423,0,0
"142","Cabo Verde",4,0,0,421,0,0
"143","Rwanda",NA,0,0,355,0,0
"144","Isle of Man",24,0,0,336,0,0
"145","Mauritius",10,0,0,335,0,0
"146","Uganda",NA,0,0,329,0,0
"147","Vietnam",NA,0,0,328,0,0
"148","Montenegro",9,0,0,324,0,0
"149","Yemen",65,0,0,283,0,0
"150","Liberia",27,0,0,280,0,0
"151","Eswatini",2,2,100,279,260.6,93.41
"152","Malawi",4,0,0,273,0,0
"153","Mozambique",2,0,0,244,0,0
"154","Myanmar",6,0,0,224,0,0
"155","Benin",3,0,0,224,0,0
"156","Martinique",14,0,0,200,0,0
"157","Faeroe Islands",NA,0,0,187,0,0
"158","Mongolia",NA,0,0,179,0,0
"159","Gibraltar",NA,0,0,169,0,0
"160","Guadeloupe",14,0,0,162,0,0
"161","Zimbabwe",4,0,0,160,0,0
"162","Guyana",11,0,0,150,0,0
"163","Brunei",2,0,0,141,0,0
"164","Cayman Islands",1,0,0,141,0,0
"165","Bermuda",9,0,0,140,0,0
"166","Cambodia",NA,0,0,125,0,0
"167","Syria",4,0,0,122,0,0
"168","Libya",5,0,0,118,0,0
"169","Trinidad and Tobago",8,0,0,116,0,0
"170","Bahamas",11,0,0,102,0,0
"171","Aruba",3,0,0,101,0,0
"172","Monaco",4,0,0,98,0,0
"173","Barbados",7,0,0,92,0,0
"174","Comoros",2,0,0,87,0,0
"175","Liechtenstein",1,0,0,82,0,0
"176","Angola",4,0,0,81,0,0
"177","Sint Maarten",15,0,0,77,0,0
"178","French Polynesia",NA,0,0,60,0,0
"179","Macao",NA,0,0,45,0,0
"180","Burundi",1,0,0,42,0,0
"181","Saint Martin",3,0,0,41,0,0
"182","Eritrea",NA,0,0,39,0,0
"183","Botswana",1,0,0,35,0,0
"184","Bhutan",NA,0,0,33,0,0
"185","St. Vincent Grenadines",NA,0,0,26,0,0
"186","Antigua and Barbuda",3,0,0,25,0,0
"187","Gambia",1,1,100,25,20,80
"188","Timor-Leste",NA,0,0,24,0,0
"189","Grenada",NA,0,0,23,0,0
"190","Namibia",NA,0,0,23,0,0
"191","Laos",NA,0,0,19,0,0
"192","New Caledonia",NA,0,0,19,0,0
"193","Belize",2,0,0,18,0,0
"194","Curaçao",1,0,0,18,0,0
"195","Fiji",NA,0,0,18,0,0
"196","Saint Lucia",NA,0,0,18,0,0
"197","Dominica",NA,0,0,16,0,0
"198","Saint Kitts and Nevis",NA,0,0,15,0,0
"199","Falkland Islands",NA,0,0,13,0,0
"200","Greenland",NA,0,0,13,0,0
"201","Suriname",1,0,0,12,0,0
"202","Turks and Caicos",1,0,0,12,0,0
"203","Vatican City",NA,0,0,12,0,0
"204","Montserrat",1,0,0,11,0,0
"205","Seychelles",NA,0,0,11,0,0
"206","MS Zaandam",2,0,0,9,0,0
"207","Western Sahara",1,0,0,9,0,0
"208","British Virgin Islands",1,0,0,8,0,0
"209","Papua New Guinea",NA,0,0,8,0,0
"210","Caribbean Netherlands",NA,0,0,6,0,0
"211","St. Barth",NA,0,0,6,0,0
"212","Anguilla",NA,0,0,3,0,0
"213","Lesotho",NA,0,0,2,0,0
"214","Saint Pierre Miquelon",NA,0,0,1,0,0
"215","China",4634,1023.1,22.08,82999,44671.9,53.82
