"","Country","Deaths.real","Deaths.coverage.total","Deaths_cover_rate","Cases.real","Cases.coverage.total","Cases_cover_rate"
"54","Serbia",250,0,0,11965,0,0
"55","South Korea",276,276,100,11902,11902.1,100
"56","Algeria",724,731.8,101.08,10382,10484.2,100.98
"57","Ghana",48,0,0,10201,0,0
"58","Moldova",367,0,0,10025,0,0
"59","Czechia",330,320,96.97,9763,8918,91.34
"60","Cameroon",212,17.8,8.4,8681,870.1,10.02
"61","Norway",239,237,99.16,8576,8454,98.58
"62","Morocco",210,0,0,8455,0,0
"63","Malaysia",118,0,0,8338,0,0
"64","Azerbaijan",98,0,0,8191,0,0
"65","Guatemala",289,0,0,7866,0,0
"66","Australia",102,102,100,7276,7405,101.77
"67","Finland",324,323.8,99.94,7040,7024.9,99.79
"68","Honduras",271,0,0,6935,0,0
"69","Sudan",389,0,0,6427,0,0
"70","Tajikistan",48,0,0,4690,0,0
"71","Senegal",52,0,0,4640,0,0
"72","Uzbekistan",18,0,0,4547,0,0
"73","DRC",96,0,0,4390,0,0
"74","Nepal",15,0,0,4364,0,0
"75","Djibouti",34,0,0,4331,0,0
"76","Guinea",23,0,0,4258,0,0
"77","Luxembourg",110,0,0,4046,0,0
"78","Hungary",551,0,0,4027,0,0
"79","Ivory Coast",38,0,0,3995,0,0
"80","Haiti",56,0,0,3662,0,0
"81","North Macedonia",164,0,0,3364,0,0
"82","Gabon",21,0,0,3247,0,0
"83","El Salvador",60,42,70,3191,NA,0
"84","Thailand",58,0,0,3125,0,0
"85","Greece",183,178.8,97.7,3058,2726,89.14
"86","Kenya",88,0,0,2989,0,0
"87","Bulgaria",167,0,0,2889,0,0
"88","Bosnia and Herzegovina",161,0,0,2775,0,0
"89","Venezuela",23,0,0,2632,0,0
"90","Ethiopia",35,5,14.29,2506,209.9,8.38
"91","Somalia",85,0,0,2416,0,0
"92","Croatia",106,0,0,2247,0,0
"93","Cuba",83,82,98.8,2205,NA,0
"94","Mayotte",28,0,0,2175,0,0
"95","Kyrgyzstan",26,0,0,2093,0,0
"96","Estonia",69,0,0,1958,0,0
"97","Maldives",8,0,0,1942,0,0
"98","CAR",5,0,0,1888,0,0
"99","Sri Lanka",11,0,0,1859,0,0
"100","Iceland",10,0,0,1807,0,0
"101","Lithuania",74,0,0,1733,0,0
"102","South Sudan",19,0,0,1604,0,0
"103","Mali",94,0,0,1586,0,0
"104","Slovakia",28,0,0,1533,0,0
"105","New Zealand",22,21.9,99.55,1504,NA,0
"106","Slovenia",109,0,0,1488,0,0
"107","Nicaragua",55,0,0,1464,0,0
"108","Guinea-Bissau",12,0,0,1389,0,0
"109","Costa Rica",11,0,0,1375,0,0
"110","Lebanon",30,0,0,1368,0,0
"111","Albania",34,0,0,1341,0,0
"112","Equatorial Guinea",12,0,0,1306,0,0
"113","Zambia",10,0,0,1200,0,0
"114","Paraguay",11,0,0,1187,0,0
"115","Mauritania",61,0,0,1162,0,0
"116","Madagascar",10,0,0,1162,0,0
"117","Hong Kong",4,0,0,1108,0,0
"118","Latvia",26,0,0,1092,0,0
"119","Tunisia",49,0,0,1087,0,0
"120","Sierra Leone",50,0,0,1025,0,0
"121","Niger",65,0,0,974,0,0
"122","Cyprus",18,0,0,972,0,0
"123","Burkina Faso",53,0,0,891,0,0
"124","Andorra",51,0,0,852,0,0
"125","Uruguay",23,0,0,846,0,0
"126","Jordan",9,0,0,845,0,0
"127","Chad",71,0,0,844,0,0
"128","Georgia",13,0,0,822,0,0
"129","French Guiana",2,0,0,773,0,0
"130","Congo",24,0,0,728,0,0
"131","Diamond Princess",13,0,0,712,0,0
"132","San Marino",42,0,0,691,0,0
"133","Uganda",NA,0,0,665,0,0
"134","Malta",9,0,0,635,0,0
"135","Sao Tome and Principe",12,0,0,611,0,0
"136","Jamaica",10,10,100,605,597.9,98.83
"137","Cabo Verde",5,0,0,585,0,0
"138","Channel Islands",48,0,0,565,0,0
"139","Yemen",127,0,0,524,0,0
"140","Tanzania",21,0,0,509,0,0
"141","Togo",13,0,0,501,0,0
"142","Palestine",3,0,0,482,0,0
"143","Réunion",1,0,0,481,0,0
"144","Rwanda",2,0,0,463,0,0
"145","Malawi",4,0,0,455,0,0
"146","Mozambique",2,0,0,453,0,0
"147","Taiwan",7,7,100,443,440.1,99.35
"148","Liberia",31,0,0,383,0,0
"149","Eswatini",3,3,100,371,339.9,91.62
"150","Libya",5,0,0,359,0,0
"151","Mauritius",10,0,0,337,0,0
"152","Isle of Man",24,0,0,336,0,0
"153","Vietnam",NA,0,0,332,0,0
"154","Montenegro",9,0,0,324,0,0
"155","Zimbabwe",4,0,0,314,0,0
"156","Benin",4,0,0,305,0,0
"157","Myanmar",6,0,0,246,0,0
"158","Martinique",14,0,0,202,0,0
"159","Mongolia",NA,0,0,194,0,0
"160","Faeroe Islands",NA,0,0,187,0,0
"161","Cayman Islands",1,0,0,176,0,0
"162","Gibraltar",NA,0,0,176,0,0
"163","Guadeloupe",14,0,0,164,0,0
"164","Comoros",2,0,0,162,0,0
"165","Guyana",12,0,0,156,0,0
"166","Syria",6,0,0,146,0,0
"167","Bermuda",9,0,0,141,0,0
"168","Brunei",2,0,0,141,0,0
"169","Suriname",2,0,0,137,0,0
"170","Cambodia",NA,0,0,126,0,0
"171","Trinidad and Tobago",8,0,0,117,0,0
"172","Bahamas",11,0,0,103,0,0
"173","Aruba",3,0,0,101,0,0
"174","Monaco",4,0,0,99,0,0
"175","Angola",4,0,0,96,0,0
"176","Barbados",7,0,0,92,0,0
"177","Burundi",1,0,0,83,0,0
"178","Liechtenstein",1,0,0,82,0,0
"179","Sint Maarten",15,0,0,77,0,0
"180","French Polynesia",NA,0,0,60,0,0
"181","Bhutan",NA,0,0,59,0,0
"182","Macao",NA,0,0,45,0,0
"183","Botswana",1,0,0,42,0,0
"184","Saint Martin",3,0,0,41,0,0
"185","Eritrea",NA,0,0,39,0,0
"186","Namibia",NA,0,0,31,0,0
"187","Gambia",1,1,100,28,20,71.43
"188","St. Vincent Grenadines",NA,0,0,27,0,0
"189","Antigua and Barbuda",3,0,0,26,0,0
"190","Timor-Leste",NA,0,0,24,0,0
"191","Grenada",NA,0,0,23,0,0
"192","Curaçao",1,0,0,21,0,0
"193","New Caledonia",NA,0,0,21,0,0
"194","Belize",2,0,0,20,0,0
"195","Laos",NA,0,0,19,0,0
"196","Saint Lucia",NA,0,0,19,0,0
"197","Dominica",NA,0,0,18,0,0
"198","Fiji",NA,0,0,18,0,0
"199","Saint Kitts and Nevis",NA,0,0,15,0,0
"200","Falkland Islands",NA,0,0,13,0,0
"201","Greenland",NA,0,0,13,0,0
"202","Turks and Caicos",1,0,0,12,0,0
"203","Vatican City",NA,0,0,12,0,0
"204","Montserrat",1,0,0,11,0,0
"205","Seychelles",NA,0,0,11,0,0
"206","MS Zaandam",2,0,0,9,0,0
"207","Western Sahara",1,0,0,9,0,0
"208","British Virgin Islands",1,0,0,8,0,0
"209","Papua New Guinea",NA,0,0,8,0,0
"210","Caribbean Netherlands",NA,0,0,7,0,0
"211","St. Barth",NA,0,0,6,0,0
"212","Lesotho",NA,0,0,4,0,0
"213","Anguilla",NA,0,0,3,0,0
"214","Saint Pierre Miquelon",NA,0,0,1,0,0
"215","China",4634,1023.1,22.08,83046,44671.9,53.79
