"","Country","Deaths.real","Deaths.coverage.total","Deaths_cover_rate","Cases.real","Cases.coverage.total","Cases_cover_rate"
"1","USA",92191,46379.1,50.31,1554953,828441,53.28
"2","Russia",2837,0,0,299941,0,0
"3","Spain",27709,27459,99.1,278188,230183,82.74
"4","Brazil",16941,9228,54.47,257396,NA,0
"5","UK",34796,0,0,246406,0,0
"6","Italy",32007,29884,93.37,225886,216795.6,95.98
"7","France",28239,16084.2,56.96,179927,NA,0
"8","Germany",8145,6692.2,82.16,177482,163175.1,91.94
"9","Turkey",4171,0,0,150593,0,0
"10","Iran",7119,0,0,124603,0,0
"11","India",3179,0,0,103292,0,0
"12","Peru",2789,0,0,94933,0,0
"13","Canada",5842,3765,64.45,78072,59843.1,76.65
"14","Saudi Arabia",329,0,0,59854,0,0
"15","Belgium",9108,8605.1,94.48,55791,52909.1,94.83
"16","Mexico",5332,3926,73.63,51633,38324,74.22
"17","Chile",509,207,40.67,49579,NA,0
"18","Netherlands",5715,5562,97.32,44249,43210.9,97.65
"19","Pakistan",939,1188.1,126.53,43966,51674.3,117.53
"20","Qatar",15,0,0,35606,0,0
"21","Ecuador",2799,507,18.11,33582,9620.8,28.65
"22","Belarus",175,0,0,31508,0,0
"23","Sweden",3743,2940.9,78.57,30799,23917.8,77.66
"24","Switzerland",1890,1518,80.32,30618,30141.5,98.44
"25","Portugal",1247,470,37.69,29432,15987,54.32
"26","Singapore",22,0,0,28794,0,0
"27","Bangladesh",370,0,0,25121,0,0
"28","UAE",227,0,0,25063,0,0
"29","Ireland",1547,897.1,57.99,24200,19094.8,78.9
"30","Poland",941,0,0,19080,0,0
"31","Ukraine",548,0,0,18876,0,0
"32","Indonesia",1221,0,0,18496,0,0
"33","Romania",1126,0,0,17191,0,0
"34","Kuwait",121,0,0,16764,0,0
"35","Israel",277,0,0,16650,0,0
"36","South Africa",286,34.1,11.92,16433,NA,0
"37","Austria",632,596.1,94.32,16321,16151.1,98.96
"38","Japan",749,0,0,16305,0,0
"39","Colombia",592,358,60.47,16295,7972.9,48.93
"40","Dominican Republic",441,0,0,13223,0,0
"41","Philippines",837,0,0,12942,0,0
"42","Egypt",645,0,0,12764,0,0
"43","South Korea",263,262,99.62,11078,11050.1,99.75
"44","Denmark",551,533.1,96.75,11044,10667,96.59
"45","Serbia",234,0,0,10733,0,0
"46","Panama",279,0,0,9726,0,0
"47","Czechia",301,0,0,8604,0,0
"48","Argentina",382,0,0,8371,0,0
"49","Norway",233,209.1,89.74,8264,7903,95.63
"50","Afghanistan",178,0,0,7653,0,0
"51","Algeria",561,541.8,96.58,7377,6821.2,92.47
"52","Bahrain",12,0,0,7374,0,0
"53","Australia",100,0,0,7068,0,0
"54","Malaysia",114,0,0,6978,0,0
"55","Morocco",193,0,0,6972,0,0
"56","Kazakhstan",35,0,0,6751,0,0
"57","Finland",301,0,0,6399,0,0
"58","Nigeria",191,0,0,6175,0,0
"59","Moldova",219,0,0,6138,0,0
"60","Ghana",31,0,0,5918,0,0
"61","Oman",27,0,0,5671,0,0
"62","Armenia",64,0,0,5041,0,0
"63","Bolivia",174,0,0,4263,0,0
"64","Luxembourg",107,0,0,3947,0,0
"65","Hungary",467,0,0,3556,0,0
"66","Iraq",127,0,0,3554,0,0
"67","Cameroon",140,18,12.86,3529,870.1,24.66
"68","Azerbaijan",41,0,0,3518,0,0
"69","Thailand",56,0,0,3033,0,0
"70","Greece",165,155,93.94,2836,2554.9,90.09
"71","Uzbekistan",13,0,0,2825,0,0
"72","Honduras",146,0,0,2798,0,0
"73","Guinea",16,0,0,2796,0,0
"74","Senegal",30,0,0,2617,0,0
"75","Sudan",105,0,0,2591,0,0
"76","Bosnia and Herzegovina",134,0,0,2321,0,0
"77","Bulgaria",112,0,0,2259,0,0
"78","Croatia",96,0,0,2232,0,0
"79","Ivory Coast",28,0,0,2119,0,0
"80","Guatemala",38,0,0,2001,0,0
"81","Tajikistan",41,0,0,1936,0,0
"82","Cuba",79,0,0,1881,0,0
"83","North Macedonia",106,0,0,1839,0,0
"84","Iceland",10,0,0,1802,0,0
"85","Estonia",64,NA,0,1791,1659.9,92.68
"86","Lithuania",60,0,0,1562,0,0
"87","DRC",61,0,0,1538,0,0
"88","Djibouti",7,0,0,1518,0,0
"89","New Zealand",21,0,0,1503,0,0
"90","El Salvador",30,0,0,1498,0,0
"91","Slovakia",28,0,0,1495,0,0
"92","Slovenia",104,0,0,1467,0,0
"93","Somalia",57,0,0,1455,0,0
"94","Gabon",11,0,0,1432,0,0
"95","Mayotte",18,0,0,1370,0,0
"96","Kyrgyzstan",14,0,0,1243,0,0
"97","Maldives",4,0,0,1143,0,0
"98","Hong Kong",4,0,0,1056,0,0
"99","Tunisia",46,0,0,1043,0,0
"100","Guinea-Bissau",4,0,0,1032,0,0
"101","Sri Lanka",9,0,0,1020,0,0
"102","Latvia",21,0,0,1012,0,0
"103","Kenya",50,0,0,963,0,0
"104","Lebanon",26,0,0,954,0,0
"105","Albania",31,0,0,949,0,0
"106","Cyprus",17,0,0,917,0,0
"107","Niger",55,0,0,909,0,0
"108","Mali",52,0,0,874,0,0
"109","Costa Rica",10,0,0,866,0,0
"110","Burkina Faso",51,0,0,796,0,0
"111","Paraguay",11,0,0,788,0,0
"112","Zambia",7,0,0,772,0,0
"113","Andorra",51,0,0,761,0,0
"114","Uruguay",20,0,0,737,0,0
"115","Equatorial Guinea",7,0,0,719,0,0
"116","Diamond Princess",13,0,0,712,0,0
"117","Georgia",12,0,0,702,0,0
"118","San Marino",41,0,0,655,0,0
"119","Jordan",9,0,0,629,0,0
"120","Venezuela",10,0,0,618,0,0
"121","Malta",6,0,0,569,0,0
"122","Channel Islands",43,0,0,555,0,0
"123","Haiti",21,0,0,533,0,0
"124","Jamaica",9,0,0,520,0,0
"125","Chad",53,0,0,519,0,0
"126","Sierra Leone",33,0,0,519,0,0
"127","Tanzania",21,0,0,509,0,0
"128","Réunion",NA,0,0,446,0,0
"129","Taiwan",7,0,0,440,0,0
"130","Congo",15,0,0,412,0,0
"131","Nepal",2,0,0,402,0,0
"132","Palestine",2,0,0,388,0,0
"133","CAR",NA,0,0,366,0,0
"134","Ethiopia",5,5,100,365,209.9,57.51
"135","Benin",2,0,0,339,0,0
"136","Isle of Man",24,0,0,335,0,0
"137","Mauritius",10,0,0,332,0,0
"138","Togo",12,0,0,330,0,0
"139","Cabo Verde",3,0,0,328,0,0
"140","Madagascar",2,0,0,326,0,0
"141","Montenegro",9,0,0,324,0,0
"142","Vietnam",NA,0,0,324,0,0
"143","Rwanda",NA,0,0,297,0,0
"144","South Sudan",4,0,0,290,0,0
"145","Uganda",NA,0,0,260,0,0
"146","Sao Tome and Principe",7,0,0,246,0,0
"147","Liberia",23,0,0,233,0,0
"148","French Guiana",1,0,0,210,0,0
"149","Eswatini",2,2,100,205,201.8,98.44
"150","Martinique",14,0,0,192,0,0
"151","Myanmar",6,0,0,191,0,0
"152","Faeroe Islands",NA,0,0,187,0,0
"153","Guadeloupe",13,0,0,155,0,0
"154","Gibraltar",NA,0,0,147,0,0
"155","Mozambique",NA,0,0,146,0,0
"156","Brunei",1,0,0,141,0,0
"157","Mongolia",NA,0,0,140,0,0
"158","Yemen",20,0,0,130,0,0
"159","Bermuda",9,0,0,125,0,0
"160","Guyana",10,0,0,124,0,0
"161","Cambodia",NA,0,0,122,0,0
"162","Trinidad and Tobago",8,0,0,116,0,0
"163","Aruba",3,0,0,101,0,0
"164","Monaco",4,0,0,97,0,0
"165","Bahamas",11,0,0,96,0,0
"166","Cayman Islands",1,0,0,94,0,0
"167","Barbados",7,0,0,88,0,0
"168","Liechtenstein",1,0,0,82,0,0
"169","Mauritania",4,0,0,81,0,0
"170","Sint Maarten",15,0,0,77,0,0
"171","Malawi",3,0,0,70,0,0
"172","Libya",3,0,0,65,0,0
"173","French Polynesia",NA,0,0,60,0,0
"174","Syria",3,0,0,58,0,0
"175","Angola",3,0,0,50,0,0
"176","Zimbabwe",4,0,0,46,0,0
"177","Macao",NA,0,0,45,0,0
"178","Burundi",1,0,0,42,0,0
"179","Saint Martin",3,0,0,39,0,0
"180","Eritrea",NA,0,0,39,0,0
"181","Nicaragua",8,0,0,25,0,0
"182","Antigua and Barbuda",3,0,0,25,0,0
"183","Botswana",1,0,0,25,0,0
"184","Gambia",1,0,0,24,0,0
"185","Timor-Leste",NA,0,0,24,0,0
"186","Grenada",NA,0,0,22,0,0
"187","Bhutan",NA,0,0,21,0,0
"188","Laos",NA,0,0,19,0,0
"189","Belize",2,0,0,18,0,0
"190","Fiji",NA,0,0,18,0,0
"191","New Caledonia",NA,0,0,18,0,0
"192","Saint Lucia",NA,0,0,18,0,0
"193","St. Vincent Grenadines",NA,0,0,17,0,0
"194","Curaçao",1,0,0,16,0,0
"195","Dominica",NA,0,0,16,0,0
"196","Namibia",NA,0,0,16,0,0
"197","Saint Kitts and Nevis",NA,0,0,15,0,0
"198","Falkland Islands",NA,0,0,13,0,0
"199","Turks and Caicos",1,0,0,12,0,0
"200","Vatican City",NA,0,0,12,0,0
"201","Comoros",1,0,0,11,0,0
"202","Montserrat",1,0,0,11,0,0
"203","Suriname",1,0,0,11,0,0
"204","Greenland",NA,0,0,11,0,0
"205","Seychelles",NA,0,0,11,0,0
"206","MS Zaandam",2,0,0,9,0,0
"207","British Virgin Islands",1,0,0,8,0,0
"208","Papua New Guinea",NA,0,0,8,0,0
"209","Caribbean Netherlands",NA,0,0,6,0,0
"210","St. Barth",NA,0,0,6,0,0
"211","Western Sahara",NA,0,0,6,0,0
"212","Anguilla",NA,0,0,3,0,0
"213","Lesotho",NA,0,0,1,0,0
"214","Saint Pierre Miquelon",NA,0,0,1,0,0
"215","China",4634,1023,22.08,82960,44672,53.85
